符合條件商品
資料日期：2026年  5月  5日
策略,	新策略(2)
"序號","代碼","商品","成交","漲幅%","總量","收盤價","產業","細產業","所有細產業",產業地位
1	,"1101.TW","台泥","24.1","-1.43","28935","24.1","上市水泥","水泥","水泥,水泥製品,預拌混凝土,電力,汽電共生",台灣最大水泥廠
2	,"1102.TW","亞泥","34.95","0.14","5493","34.95","上市水泥","水泥","水泥,預拌混凝土,高爐水泥,電力,汽電共生",台灣前二大水泥廠
3	,"1103.TW","嘉泥","13.3","0","218","13.3","上市水泥","水泥","水泥,貨櫃場服務,運輸事業,地產,物業投資發展,旅宿／餐飲,飯店",主要從事水泥通路貿易
4	,"1104.TW","環泥","28.25","0","308","28.25","上市水泥","預拌混凝土","水泥,水泥製品,預拌混凝土",台灣最大石膏板供應商
5	,"1108.TW","幸福","14.6","0.34","199","14.6","上市水泥","水泥","水泥,預拌混凝土,高爐水泥",台灣第三大水泥廠
6	,"1109.TW","信大","15.4","-0.32","137","15.4","上市水泥","水泥","水泥,預拌混凝土,高爐水泥",銷售市場以台北、宜蘭、基隆、桃園等為主
7	,"1110.TW","東泥","15.05","0.33","211","15.05","上市水泥","水泥","水泥,高爐水泥",台灣中南部市場水泥供應商
8	,"1201.TW","味全","12.35","0.82","298","12.35","上市食品","乳製品","非酒精飲料,乳製品,食品加工,飲料相關",老牌綜合食品大廠
9	,"1203.TW","味王","42.7","-0.12","9","42.7","上市食品","調味品","速食麵,調味品,食品加工,罐頭業,調理食品,資產股",老牌食品廠
10	,"1210.TW","大成","52.4","-0.38","1881","52.4","上市食品","飼料","農林漁牧,飼料,食品加工,大宗物資,肉品加工",白肉雞電宰加工廠及飼料大廠
11	,"1215.TW","卜蜂","141","0.71","990","141","上市食品","肉品加工","農林漁牧,飼料,食品加工,肉品加工",台灣白肉雞供應商及飼料大廠
12	,"1216.TW","統一","69.1","-0.72","10848","69.1","上市食品","乳製品","速食麵,非酒精飲料,乳製品,食品加工,穀類烘焙製品,飲料相關",台灣食品業龍頭廠之一
13	,"1218.TW","泰山","18.8","0.27","385","18.8","上市食品","油脂","非酒精飲料,大宗物資,油脂,飲料相關",台灣油脂、飲料大廠
14	,"1219.TW","福壽","13.45","0","582","13.45","上市食品","飼料","農林漁牧,飼料,食品加工,大宗物資,油脂,寵物食品",台灣知名農糧油脂、寵物飼料大廠
15	,"1220.TW","台榮","12.35","-0.4","140","12.35","上市食品","飼料","流通業,食品飲料相關通路,農林漁牧,飼料,製糖,食品加工,大宗物資,磨粉製品",台灣知名果糖大廠，並生產飼料及水產品
16	,"1225.TW","福懋油","31.95","-0.31","734","31.95","上市食品","油脂","農林漁牧,飼料,大宗物資,麵粉,油脂",台灣油脂、飼料大廠
17	,"1227.TW","佳格","28.8","-0.52","913","28.8","上市食品","油脂","乳製品,食品加工,大宗物資,油脂,保健食品,穀類烘焙製品",台灣最大穀物營養品與油品供應商
18	,"1229.TW","聯華","41.6","0.85","2304","41.6","上市食品","麵粉","大宗物資,麵粉,系統整合,軟體業",聯華神通集團之創始公司，是台灣麵粉品牌龍頭企業
19	,"1231.TW","聯華食","87.3","0.34","212","87.3","上市食品","調理食品","食品加工,穀類烘焙製品,調理食品,餅乾製品",台灣休閒食品大廠，並供應7-11鮮食產品
20	,"1232.TW","大統益","148","0","75","148","上市食品","油脂","食品加工,大宗物資,油脂,磨粉製品",台灣最大黃豆加工製造廠，是豆粉與油脂製造龍頭
21	,"1233.TW","天仁","28.9","1.05","25","28.9","上市食品","茶葉相關","食品加工,茶葉相關,旅宿／餐飲,餐飲,連鎖飲料",台灣知名茶葉廠並轉投資喫茶趣
22	,"1234.TW","黑松","35.05","0","262","35.05","上市食品","非酒精飲料","流通業,食品飲料相關通路,非酒精飲料,飲料相關,資產股",主要從事黑松品牌飲料製造及酒品代理
23	,"1235.TW","興泰","42.5","-1.85","4","42.5","上市食品","飼料","農林漁牧,飼料",生產畜產及水產類飼料之廠商
24	,"1236.TW","宏亞","26","0.78","24","26","上市食品","可可製品","食品加工,可可製品,餅乾製品",旗下七七巧克力與禮坊喜餅為知名品牌
25	,"1240.TW","茂生農經","58.9","-0.51","31","58.9","上櫃農業科技業","飼料","農林漁牧,家畜／家禽,飼料",家禽家畜飼料、大宗原料供應商
26	,"1256.TW","鮮活果汁-KY","165","-0.9","44","165","上市食品","非酒精飲料","非酒精飲料,飲料相關",大陸新茶飲上游原料供應商
27	,"1259.TW","安心","56.9","-2.4","7","56.9","上櫃觀光餐旅","餐飲","旅宿／餐飲,餐飲",東元旗下，以摩斯為速食餐飲連鎖品牌
28	,"1264.TW","德麥","272","-0.18","41","272","上櫃食品","食品飲料相關通路","流通業,食品飲料相關通路,食品加工,穀類烘焙製品,磨粉製品",台灣最大烘焙原物料供應商
29	,"1268.TW","漢來美食","154.5","-0.64","42","154.5","上櫃觀光餐旅","餐飲","旅宿／餐飲,餐飲",台灣知名餐飲集團，經營多元品牌
30	,"1294.TW","漢田生技","79.5","-0.25","16","79.5","上櫃食品","食品生技","生物科技,食品生技",台灣知名的液劑、晶凍保健食品代工廠
31	,"1295.TW","生合","55.2","2.99","149","55.2","上櫃食品","食品生技","生物科技,食品生技",台灣專精乳酸菌研發與生產製造商
32	,"1301.TW","台塑","51.3","0.98","17212","51.3","上市塑膠","PVC","合成樹脂,鹼業,化學工業,其他化工產品,PVC,PE,PP,塑化原料,EVA,AN,化纖原料",台灣最大塑化集團，亞洲最大PVC生產商
33	,"1303.TW","南亞","94","6.33","128710","94","上市塑膠","塑膠加工","合成樹脂,丁二醇,化學工業,DOP,塑膠皮布,塑膠加工,PA,塑化原料,塑化製品,化學纖維,聚酯絲,聚酯棉,聚酯粒,化纖原料,EG,玻纖布,印刷電路板,銅箔基板,銅箔,印刷電路板相關",全球最大的塑膠加工廠、第四大EG廠
34	,"1304.TW","台聚","13.8","1.85","6823","13.8","上市塑膠","PE","PE,ABS,PS,塑化原料,EVA",台灣EVA、PE知名廠商
35	,"1305.TW","華夏","14","2.19","3843","14","上市塑膠","PVC","PVC,塑膠皮布,塑膠加工,塑化原料,塑化製品",台灣第二大PVC廠，轉投資台氯
36	,"1307.TW","三芳","31.35","-0.63","1470","31.35","上市塑膠","塑膠皮布","塑膠皮布,塑化製品,傳產其他,鞋材",全球最大的合成皮生產商
37	,"1308.TW","亞聚","14.25","1.42","2899","14.25","上市塑膠","EVA","PE,塑化原料,EVA",台聚轉投資之EVA及LDPE知名廠商
38	,"1309.TW","台達化","19.5","1.56","10352","19.5","上市塑膠","PS","ABS,PS,塑化原料",台灣第三大PS廠
39	,"1312.TW","國喬","12.05","2.99","4347","12.05","上市塑膠","SM","SM,ABS,塑化原料",台灣第二大SM及ABS廠
40	,"1313.TW","聯成","10.95","1.39","2754","10.95","上市塑膠","DOP","PVC,DOP,PA,塑化原料",全球最大可塑劑及苯酐供應商
41	,"1315.TW","達新","62.2","0","16","62.2","上市塑膠","塑膠加工","塑膠加工,塑化製品,建材,複合板,成衣,成衣製造,資產股",台灣知名雨衣及成衣製造商
42	,"1316.TW","上曜","11.25","2.27","6835","11.25","上市建材營造","營建","PU樹脂,化學工業,食品加工,保健食品,營建,地產",上曜集團旗下豪宅品牌
43	,"1319.TW","東陽","76.4","1.87","4327","76.4","上市汽車","汽機車零組件","汽車保險桿,汽機車零組件,汽車鈑金,車用冷卻系統",全球第一大汽車AM塑膠件製造商
44	,"1321.TW","大洋","29.85","-1.81","420","29.85","上市塑膠","PVC","PVC,塑膠皮布,塑膠加工,塑化原料,塑化製品,資產股",台灣第三大PVC廠，並有資產開發題材
45	,"1323.TW","永裕","19.8","0","171","19.8","上市塑膠","塑膠加工","塑膠加工,塑化製品",台灣知名的塑膠瓶及軟管製造商
46	,"1324.TW","地球","10.4","-0.48","102","10.4","上市塑膠","膠帶","膠帶,化學工業",台灣主要PVC膠帶供應商
47	,"1325.TW","恆大","27.05","2.46","256","27.05","上市塑膠","不織布","不織布,工業紡織品",台灣最大的紡結不織布生產廠
48	,"1326.TW","台化","51.8","1.97","21770","51.8","上市塑膠","PTA","二甲基甲醯胺(DMF),酚,化學工業,其他化工產品,芳香烴,SM,ABS,PS,PP,塑化原料,化學纖維,尼龍粒,尼龍加工絲,尼龍絲,化纖原料,PTA,粘膠",台灣最大的PTA廠
49	,"1336.TW","台翰","13.95","1.82","79","13.95","上櫃電子零組件","塑膠射出","電子零件元件,塑膠射出",宣德轉投資之消費電子產品外殼製造商
50	,"1338.TW","廣華-KY","16","0","101","16","上市汽車","汽車內裝","汽車內裝",汽車OEM塑膠內飾件大廠，供應以大陸市場為主
51	,"1339.TW","昭輝","40.35","0.25","149","40.35","上市汽車","汽車保險桿","塑膠加工,塑化製品,汽車保險桿,汽機車零組件",台灣第二大汽車AM塑膠件製造商
52	,"1341.TW","富林-KY","60.8","0","12","60.8","上市塑膠","塑膠皮布","塑膠皮布,塑化製品",越南第一大PVC人造皮革生產商
53	,"1342.TW","八貫","93.1","-0.85","237","93.1","上市其他","塑膠皮布","塑膠皮布,塑化製品",台灣機能性皮布料及薄膜製造商
54	,"1402.TW","遠東新","25.7","0.98","8951","25.7","上市紡織纖維","聚酯粒","家居用品,寢具,化學纖維,聚酯絲,聚酯加工絲,聚酯棉,聚酯粒,化纖原料,PTA,成衣,成衣製造,成衣銷售/零售,織布業,棉紡業,紡紗,控股公司,資產股",全球前五大聚酯製造商，集團轉投資橫跨領域廣
55	,"1409.TW","新纖","17.1","3.01","9221","17.1","上市紡織纖維","聚酯粒","塑膠加工,塑化製品,化學纖維,聚酯絲,聚酯粒,資產股",新光集團旗下，台灣知名化纖廠
56	,"1410.TW","南染","28.9","5.86","33","28.9","上市紡織纖維","物業投資發展","IC封裝測試,地產,物業投資發展",轉型為不動產租賃業務
57	,"1414.TW","東和","16.4","0.92","54","16.4","上市紡織纖維","混紡紗","混紡紗,紡紗,資產股,地產,物業投資發展",棉混紡紗大廠
58	,"1416.TW","廣豐","11.35","0","120","11.35","上市其他","應用軟體","資產股,軟體業,應用軟體",專注金融業應用系統開發
59	,"1418.TW","東華","19.2","-0.78","51","19.2","上市紡織纖維","亞克力棉","化學纖維,亞克力棉",台灣老牌的亞克力棉製造商
60	,"1419.TW","新紡","63.1","-2.62","96","63.1","上市紡織纖維","織布業","成衣,成衣銷售/零售,織布業,資產股,地產,物業投資發展",新光集團旗下，平織布生產商，士林三寶之一
61	,"1423.TW","利華","40.7","-0.25","71","40.7","上市紡織纖維","毛紡","毛紡,紡紗,資產股",台灣第一大的專業毛條生產商
62	,"1432.TW","大魯閣","16.85","0.9","149","16.85","上市運動休閒","大型遊樂場","流通業,百貨業,休閒娛樂,大型遊樂場",經營型娛樂購物中心事業
63	,"1434.TW","福懋","15.95","-0.31","1334","15.95","上市紡織纖維","尼龍製品","加油站,其他公用事業,尼龍製品,尼龍塔夫塔布,工業紡織品",台塑集團旗下，台灣知名輪胎簾布製造商
64	,"1436.TW","華友聯","49.9","0.5","116","49.9","上市建材營造","營建","營建,地產",主打首購族及換屋族市場的建商
65	,"1437.TW","勤益控","29.35","0","141","29.35","上市其他","物業投資發展","毛紡,紡紗,控股公司,資產股,地產,物業投資發展",投資控股公司，從事地產、紡織貿易及投資事業
66	,"1438.TW","三地開發","20.95","-2.56","97","20.95","上市建材營造","營建","營建,地產",開發以台南及高雄地區為主力的建商
67	,"1439.TW","雋揚","26.55","0","0","26.55","上市建材營造","營建","資產股,營建,地產,物業投資發展",國揚集團旗下，著重開發危老及都更計畫
68	,"1440.TW","南紡","12.55","-0.4","1537","12.55","上市紡織纖維","聚酯棉","化學纖維,聚酯絲,聚酯棉,聚酯粒,化纖原料,棉紡業,紡紗,資產股",台灣最大的聚酯棉與紡紗廠，並經營夢時代購物中心
69	,"1442.TW","名軒","26.45","0","282","26.45","上市建材營造","營建","營建,地產",麗寶集團旗下成員
70	,"1443.TW","立益物流","22.4","1.59","72","22.4","上市其他","倉儲服務","流通業,貿易,倉儲服務,運輸事業,物流業",從事物流倉儲服務及經營房地產
71	,"1445.TW","大宇","12.55","0","37","12.55","上市紡織纖維","織布業","化學纖維,聚酯加工絲,織布業",台灣專業的織布廠
72	,"1446.TW","宏和","15.55","-0.64","122","15.55","上市紡織纖維","織布業","織布業,資產股,營建,地產",台灣知名的長短纖布廠
73	,"1449.TW","佳和","13.3","1.53","995","13.3","上市紡織纖維","織布業","織布業,營建,地產",織布生產商，產品為先染及長纖織物
74	,"1451.TW","年興","16.9","1.81","306","16.9","上市紡織纖維","成衣製造","成衣,成衣製造,織布業",全球最大的牛仔成衣廠
75	,"1452.TW","宏益","11.2","-0.88","55","11.2","上市紡織纖維","聚酯加工絲","化學纖維,聚酯加工絲",台灣專業的加工絲一貫廠
76	,"1453.TW","大將","11.6","-1.69","77","11.6","上市建材營造","營建","營建,地產",主要經營營建開發及紡織買賣
77	,"1454.TW","台富","13.95","-2.11","32","13.95","上市紡織纖維","織布業","化學纖維,聚酯加工絲,織布業",台灣加工絲、織布一貫廠
78	,"1456.TW","怡華","13.15","-1.13","37","13.15","上市建材營造","營建","營建,地產",元邦集團旗下，為綜合性紡織廠及營建商
79	,"1457.TW","宜進","14.45","0.7","152","14.45","上市紡織纖維","聚酯加工絲","化學纖維,聚酯絲,聚酯加工絲,織布業,資產股",台灣前五大加工絲廠之一
80	,"1459.TW","聯發","11.95","1.7","260","11.95","上市紡織纖維","聚酯加工絲","化學纖維,聚酯加工絲",台灣十大聚酯加工絲廠之一
81	,"1463.TW","強盛新","18.4","1.1","30","18.4","上市紡織纖維","染整","染整,織布業,營建,地產",台灣專業的染整廠之一
82	,"1465.TW","偉全","12.2","0.41","55","12.2","上市紡織纖維","織布業","織布業",台灣專業的長纖布廠
83	,"1466.TW","聚隆","15.85","0.32","149","15.85","上市紡織纖維","尼龍絲","化學纖維,聚酯加工絲,尼龍加工絲,尼龍絲,加工絲",台灣前二大的尼龍加工絲廠之一
84	,"1468.TW","昶和","12.1","0.41","48","12.1","上市紡織纖維","織布業","織布業,棉紡業,紡紗",尼龍長織布廠
85	,"1470.TW","大統新創","22.25","0","12","22.25","上市紡織纖維","染整","染整,織布業",台灣知名的染整廠，並跨足機能布
86	,"1471.TW","首利","11.45","1.33","467","11.45","上市電子零組件","電源供應器","電源供應器,機殼,電子零件元件",台灣電源供應器及機殼廠
87	,"1472.TW","三洋實業","90","1.01","10","90","上市建材營造","基礎建設","基礎建設,營造工程",承建公共工程、商辦、住宅等營造工程
88	,"1473.TW","台南","20.8","-0.48","87","20.8","上市紡織纖維","成衣製造","成衣,成衣製造",台灣前三大成衣製造商，在大陸有Tony wear自有品牌
89	,"1475.TW","業旺","27.45","-0.54","50","27.45","上市紡織纖維","染料，顏料","染料，顏料,化學工業",台灣紡織助染劑廠
90	,"1476.TW","儒鴻","336.5","-0.59","643","336.5","上市紡織纖維","成衣製造","成衣,成衣製造,織布業",台灣最大針織布及前二大成衣代工廠
91	,"1477.TW","聚陽","211","0","4095","211","上市紡織纖維","成衣製造","成衣,成衣製造",全球前五大、台灣第一大成衣代工廠
92	,"1503.TW","士電","198","-1.74","2047","198","上市電機機械","電機","汽機車零組件,引擎相關,資產股,設備儀器商,電機,重電設備,電氣零件與設備,變電設備,電氣開關設備,智慧電網相關,車用充電相關,配電盤,充電樁,電力設備",屬仰德集團，本業以電機相關產品為主，為士林三寶之一
93	,"1504.TW","東元","68.5","-0.15","55283","68.5","上市電機機械","電機","資產股,小家電,電冰箱,洗衣機,冷氣機,家電,液晶電視,電機,重電設備,配電工程,變頻器,自動化設備,產業機械,電力設備",多角化經營的台灣老牌家電廠
94	,"1506.TW","正道","10.5","-1.41","305","10.5","上市電機機械","轉向系統","汽機車零組件,車用鍛件,木床/車架,引擎相關,活塞,轉向系統,懸吊系統,車用金屬成型,家居用品,傢俱",台灣知名活塞與汽車鍛件製造商
95	,"1513.TW","中興電","154","-0.96","5442","154","上市電機機械","電機","其他公用事業,停車場,電機,重電設備,輸配電設備,電氣開關設備,智慧電網相關,配電工程,空調製冷,產業機械,電力設備",台灣知名重電及機電工程廠商
96	,"1514.TW","亞力","120","-0.83","13147","120","上市電機機械","電氣零件與設備","電機,電氣零件與設備,變電設備,配電工程,配電盤,電力設備",生產配電盤、電力變壓器為主的電機公司
97	,"1515.TW","力山","22","1.15","273","22","上市電機機械","健身器材","健身器材,運動產業,木工機械,手工具,產業機械",台灣知名健身器材代工廠
98	,"1516.TW","川飛","21.8","0","90","21.8","上市其他","車用鋰電池","車用鋰電池,電子元件代理商,電子通路,電池",從事電子零組件買賣，並跨足電動車電池導電柄
99	,"1517.TW","利奇","10.2","-0.49","159","10.2","上市電機機械","自行車零件","自行車零件,產業機械",台灣老牌自行車零件廠
100	,"1519.TW","華城","895","-2.4","3809","895","上市電機機械","變電設備","變電設備,配電盤,電力設備",生產電力變壓器為主之重電廠
101	,"1521.TW","大億","24.8","1.02","22","24.8","上市汽車","車燈","車燈,汽機車零組件",台灣最大OEM車燈製造商
102	,"1522.TW","堤維西","31.7","2.26","1064","31.7","上市汽車","車燈","車燈,汽機車零組件",台灣前二大AM車燈製造商之一
103	,"1524.TW","耿鼎","28.2","0.71","578","28.2","上市汽車","汽車鈑金","汽機車零組件,汽車鈑金",為汽車AM鈑金件製造商
104	,"1525.TW","江申","62.6","-0.32","4","62.6","上市汽車","木床／車架","汽機車零組件,木床/車架,汽車鈑金,懸吊系統,機械零組件,模具",台灣最大商用車車架及木床製造商
105	,"1526.TW","日馳","16.2","0.62","81","16.2","上市電機機械","自行車零件","自行車零件,產業機械",全球知名的自行車內、外變速器製造商
106	,"1527.TW","鑽全","32.75","0.77","383","32.75","上市電機機械","電動工具","電動工具,自行車零件,產業機械",台灣最大的釘槍代工大廠
107	,"1528.TW","恩德","29.2","3","17228","29.2","上市電機機械","木工機械","流通業,家居相關用品通路,雷射鑽孔機、鑽頭,印刷電路板相關,木工機械,產業機械",台灣生產PCB鑽孔機、成型機與木工機械廠商
108	,"1529.TW","樂事綠能","22.7","0","508","22.7","上市電機機械","配電盤","電力公共事業,配電工程,配電盤,電力設備",以重電事業及太陽能光電業務為主
109	,"1530.TW","亞崴","26.1","0.19","38","26.1","上市電機機械","工具機","工具機,龍門機",台灣知名CNC加工機及龍門機製造商
110	,"1531.TW","高林股","12.95","0.39","294","12.95","上市電機機械","工業用縫紉機","工業用縫紉機,產業機械",全球前三大工業用縫紉機商 自有品牌SiRUBA
111	,"1532.TW","勤美","20.6","0.49","1197","20.6","上市電機機械","引擎相關","汽機車零組件,車用鑄件,引擎相關,傳動系統,剎車系統,車用金屬成型,資產股,機械零組件,營建,地產",事業涵蓋金屬成型、建設住宅、飯店、商場等領域
112	,"1533.TW","車王電","33","0.46","155","33","上市汽車","車用電子","車輛整車,客貨車輛相關,車用電子,胎壓監測系統,行車紀錄器,倒車影像系統,手工具,產業機械",主攻AM車用電子零組件之大廠
113	,"1535.TW","中宇","50.5","0","47","50.5","上市電機機械","工程顧問","水資源,污水處理,配電工程,電力設備,其他營造工程,營造工程,工程顧問,環保工程",中鋼集團旗下，環保工程廠商
114	,"1536.TW","和大","56.5","2.73","5071","56.5","上市汽車","傳動系統","汽機車零組件,傳動系統,機車零組件",台灣最大、全球前十大車廠之傳動零組件供應商
115	,"1537.TW","廣隆","122","0","93","122","上市電機機械","工業用電池","工業用電池,電池,鉛酸蓄電池",鉛酸蓄電池專業製造商
116	,"1538.TW","正峰","13.35","0","2","13.35","上市電機機械","電動工具","車燈,汽機車零組件,電動工具,產業機械",以生產電動工具機、汽車燈具為主的廠商
117	,"1539.TW","巨庭","15.95","-0.62","83","15.95","上市電機機械","木工機械","木工機械,產業機械",DIY鉋木機領導廠商
118	,"1540.TW","喬福","21.6","3.1","219","21.6","上市電機機械","工具機","工具機,龍門機,車床",台灣中大型工具機製造大廠，以客製化為主
119	,"1541.TW","錩泰","23.4","-2.3","68","23.4","上市電機機械","木工機械","木工機械,產業機械",圓鋸機、線鋸機等桌上型木工機的代工廠商
120	,"1558.TW","伸興","91.2","-0.11","79","91.2","上市電機機械","家用縫紉機","傳產其他,金屬加工/製品,家用縫紉機,產業機械",全球最大家用縫紉機ODM廠
121	,"1560.TW","中砂","572","2.69","2090","572","上市電機機械","磨料磨具","矽晶圓,IC製造,磨料磨具,產業機械",台灣從事砂輪及再生晶圓生產製造廠商
122	,"1563.TW","巧新","41.25","-0.24","742","41.25","上市汽車","輪圈","汽機車零組件,輪圈",全球汽車鍛造輪圈大廠
123	,"1565.TW","精華","102.5","0","108","102.5","上櫃生技醫療","隱形眼鏡","隱形眼鏡,輔助與彌補用醫材",台灣隱形眼鏡製造龍頭企業，並擁有「帝康」自有品牌
124	,"1568.TW","倉佑","29.55","-2.15","639","29.55","上市汽車","傳動系統","汽機車零組件,傳動系統",汽車自動變速箱零組件製造商
125	,"1569.TW","濱川","63.1","-0.63","7841","63.1","上櫃電腦及週邊設備","模具沖壓","機殼,模具沖壓,電子零件元件",全球NB鍵盤支架領導廠商
126	,"1570.TW","力肯","37.65","-0.92","273","37.65","上櫃電機機械","電動工具","電動工具,產業機械",台灣氣動釘槍製造廠商
127	,"1580.TW","新麥","122.5","0","46","122.5","上櫃電機機械","烘焙及食品飲料機械","烘焙及食品飲料機械,產業機械",亞洲最大烘焙設備製造廠
128	,"1582.TW","信錦","93.5","-0.53","2420","93.5","上市電子零組件","樞紐","樞紐,電子零件元件",全球螢幕架樞紐製造龍頭
129	,"1583.TW","程泰","47","0.53","7","47","上市電機機械","工具機","工具機,車床,磨床,工具機主軸",台灣規模最大的專業CNC車床製造商
130	,"1584.TW","精剛","20.05","0.25","531","20.05","上櫃其他","合金鋼","合金鋼",台灣鋼鐵集團旗下合金鋼廠
131	,"1586.TW","和勤","21.85","0.23","146","21.85","上櫃電機機械","汽機車零組件","汽機車零組件,車用金屬成型,車用沖壓件,模具沖壓,電子零件元件",台灣汽車及硬碟零件雙核心精沖技術大廠
132	,"1587.TW","吉茂","32.8","1.55","314","32.8","上市汽車","車用冷卻系統","汽機車零組件,車用冷卻系統",台灣最大汽車水箱製造廠
133	,"1590.TW","亞德客-KY","1440","-2.04","1159","1440","上市電機機械","氣動元件","機械零組件,氣動元件",大陸前三大氣動元件供應商之一
134	,"1591.TW","駿吉-KY","67.7","3.68","2271","67.7","上櫃電機機械","螺絲螺帽","螺絲螺帽,線材盤元",東南亞最大氣動式工業用槍釘供應商
135	,"1593.TW","祺驊","31.65","-0.47","49","31.65","上櫃運動休閒","工業馬達","健身器材,運動產業,工業馬達,產業機械,休閒娛樂,連鎖健身房",台灣運動器材零組件製造商
136	,"1595.TW","川寶","84.7","10","5480","84.7","上櫃電子零組件","PCB相關設備","PCB相關設備,半導體製程設備,設備儀器商",全球知名PCB半自動曝光機廠
137	,"1597.TW","直得","173","9.84","1908","173","上市電機機械","滑軌","機械零組件,滑軌",全球知名的微型線性滑軌元件廠商
138	,"1598.TW","岱宇","20.65","0.73","303","20.65","上市運動休閒","健身器材","健身器材,運動產業",全球前三大家用健身器材廠商
139	,"1599.TW","宏佳騰","24.95","-0.2","48","24.95","上櫃電機機械","沙灘車","電動機車,機車,沙灘車,車輛整車",以自有品牌「AEON」沙灘車起家並跨入機車領域的業者
140	,"1603.TW","華電","31.95","-0.62","269","31.95","上市電器電纜","電力電纜","建材,金屬建材,電線電纜,電力電纜",台灣老牌電線電纜業者，並跨入鋁門窗生產
141	,"1604.TW","聲寶","22.8","0","291","22.8","上市電器電纜","家電","資產股,運輸事業,物流業,顯示器,小家電,電冰箱,冷氣機,家電,液晶電視",台灣知名家電品牌
142	,"1605.TW","華新","32.4","2.21","19916","32.4","上市電器電纜","不鏽鋼","電線電纜,電力電纜,不鏽鋼",大中華區電線電纜及不鏽鋼領導廠商
143	,"1608.TW","華榮","33.05","-1.64","5419","33.05","上市電器電纜","電力電纜","電線電纜,裸銅線,電力電纜,非鐵金屬,銅",台灣超高壓電力電纜線路統包工程知名業者
144	,"1609.TW","大亞","33","-0.6","2398","33","上市電器電纜","電力電纜","電線電纜,漆包線,裸銅線,電力電纜",國內電力電纜、漆包線知名廠商
145	,"1611.TW","中電","11.8","-0.42","365","11.8","上市電器電纜","照明","LED,LED照明產品,照明,家電",以東亞照明品牌銷售燈具及LED照明產品
146	,"1612.TW","宏泰","36.6","0.41","1348","36.6","上市電器電纜","電力電纜","電線電纜,電力電纜",台灣電力電纜業者之一
147	,"1614.TW","三洋電","31.7","-0.31","34","31.7","上市電器電纜","家電","資產股,小家電,電冰箱,洗衣機,冷氣機,家電,液晶電視",台灣知名家電品牌
148	,"1615.TW","大山","46.95","2.85","366","46.95","上市電器電纜","電力電纜","電線電纜,電力電纜",台灣知名電力電纜公司
149	,"1616.TW","億泰","22.3","-0.22","445","22.3","上市電器電纜","電力電纜","電線電纜,電力電纜",國內電力電纜業者
150	,"1617.TW","榮星","15","-0.99","120","15","上市電器電纜","漆包線","電線電纜,漆包線",專業漆包線及電子用線大廠
151	,"1618.TW","合機","38.55","-0.39","503","38.55","上市電器電纜","電力電纜","電線電纜,電力電纜",台灣主要電力電纜廠
152	,"1623.TW","大東電","246.5","-1.4","145","246.5","上市電器電纜","電力電纜","電線電纜,電力電纜",台灣知名電力電纜公司
153	,"1626.TW","艾美特-KY","11","-3.08","53","11","上市電器電纜","小家電","小家電,家電",大陸「艾美特AIRMATE」品牌小家電生產商
154	,"1702.TW","南僑","34.85","-0.57","624","34.85","上市食品","油脂","食品加工,大宗物資,油脂,麵製品相關,冷凍麵團,控股公司,資產股",台灣最大烘焙用油脂廠，轉投資餐飲事業眾多品牌
155	,"1707.TW","葡萄王","112.5","0.45","99","112.5","上市生技醫療","食品生技","生物科技,食品生技,食品加工,保健食品",台灣保健食品製造領導廠商
156	,"1708.TW","東鹼","40.2","1.9","3276","40.2","上市化工","肥料","肥料,鹼業,化學產品通路,化學工業,散裝航運,運輸事業",台灣老牌硫酸鉀(SOP)肥料廠
157	,"1709.TW","和益","18.5","-0.54","575","18.5","上市化工","烷基苯","烷基苯,合成樹脂,酚,化學工業",台灣烷化品大廠、且為唯一氫化石油樹脂商
158	,"1710.TW","東聯","12.6","-1.18","2892","12.6","上市化工","EG","化學工業,其他化工產品,化纖原料,EG",遠東集團旗下，EG大廠
159	,"1711.TW","永光","60.9","4.82","6187","60.9","上市化工","染料，顏料","染料，顏料,化學工業,其他化工產品,光阻劑,半導體化學品",亞洲染料廠龍頭
160	,"1712.TW","興農","41.95","-0.47","419","41.95","上市化工","農藥","農藥,化學工業,流通業,連鎖超市",台灣農藥市場龍頭公司
161	,"1713.TW","國化","46.95","0.21","60","46.95","上市化工","保險粉","保險粉,化學工業,其他化工產品",保險粉生產商
162	,"1717.TW","長興","79","-0.75","30937","79","上市化工","合成樹脂","合成樹脂,化學工業,半導體化學品",亞洲最大合成樹脂廠，亦是全球最大乾膜光阻劑
163	,"1720.TW","生達","61","0.49","141","61","上市生技醫療","西藥製劑","醫藥產業,生物科技,西藥製劑,學名藥,食品生技",台灣前三大學名藥廠
164	,"1721.TW","三晃","26.7","9.88","3608","26.7","上市化工","其他化工產品","PU樹脂,化學工業,其他化工產品",油墨、表面處理劑、PU樹脂生產企業
165	,"1722.TW","台肥","47","-2.59","6883","47","上市化工","肥料","肥料,化學工業,其他化工產品,資產股,營建,地產",台灣最大肥料及化學廠商
166	,"1723.TW","中碳","78","1.17","397","78","上市化工","煤化工","煤化工,化學工業",中鋼集團旗下，台灣唯一煤化工製造商
