代碼,商品,漲幅%,產業地位,細產業,股本,市值
1101,台泥,1.6,台灣最大水泥廠,水泥,752.32,1910.9
1102,亞泥,-0.86,台灣前二大水泥廠,水泥,354.66,1228.9
1103,嘉泥,0.37,主要從事水泥通路貿易,水泥,79.02,106.3
1104,環泥,0,台灣最大石膏板供應商,預拌混凝土,68.67,194.3
1108,幸福,0.34,台灣第三大水泥廠,水泥,40.47,59.1
1109,信大,0.65,銷售市場以台北、宜蘭、基隆、桃園等為主,水泥,34.12,52.9
1110,東泥,2.33,台灣中南部市場水泥供應商,水泥,57.2,87.8
1201,味全,-1.21,老牌綜合食品大廠,乳製品,50.61,62
1203,味王,0,老牌食品廠,調味品,24,105.6
1210,大成,-1.13,白肉雞電宰加工廠及飼料大廠,飼料,89.48,468
1213,大飲,2.86,產品以蘋果西打為主,非酒精飲料,5.66,5.1
1215,卜蜂,-0.75,台灣白肉雞供應商及飼料大廠,肉品加工,29.48,392.1
1216,統一,0.96,台灣食品業龍頭廠之一,乳製品,568.2,4199
1217,愛之味,-0.31,以飲料、傳統類罐頭為主的食品商,非酒精飲料,49.45,47.6
1218,泰山,0.26,台灣油脂、飲料大廠,油脂,50,95.7
1219,福壽,-0.75,台灣知名農糧油脂、寵物飼料大廠,飼料,34.12,45.4
1220,台榮,0.82,台灣知名果糖大廠，並生產飼料及水產品,飼料,17.71,21.9
1225,福懋油,0.16,台灣油脂、飼料大廠,油脂,24.23,77.6
1227,佳格,-0.69,台灣最大穀物營養品與油品供應商,油脂,91.51,264
1229,聯華,-2.49,聯華神通集團之創始公司，是台灣麵粉品牌龍頭企業,麵粉,179.6,738.1
1231,聯華食,0.58,台灣休閒食品大廠，並供應7-11鮮食產品,調理食品,29.85,259.7
1232,大統益,0,台灣最大黃豆加工製造廠，是豆粉與油脂製造龍頭,油脂,16,236.8
1233,天仁,-0.17,台灣知名茶葉廠並轉投資喫茶趣,茶葉相關,9.06,26
1234,黑松,-0.43,主要從事黑松品牌飲料製造及酒品代理,非酒精飲料,40.19,140.9
1235,興泰,-2.18,生產畜產及水產類飼料之廠商,飼料,18.86,84.5
1236,宏亞,0.19,旗下七七巧克力與禮坊喜餅為知名品牌,可可製品,8.67,22.9
1256,鮮活果汁-KY,0.57,大陸新茶飲上游原料供應商,非酒精飲料,3.58,63.3
1702,南僑,-0.58,台灣最大烘焙用油脂廠，轉投資餐飲事業眾多品牌,油脂,29.41,100.4
1737,臺鹽,0,台灣最大製鹽商，並跨足生技及水產品,製鹽業,20,63.1
3054,立萬利,-1.14,生技保健相關產品之銷售廠商,食品生技,8.07,56.1
7780,大研生醫*,-0.8,尚凡旗下子公司，以生產保健食品為主,食品生技,8.1,149.9
7791,皇家可口,-1.09,南僑旗下冰品大廠,乳製品,8,51
1264,德麥,0,台灣最大烘焙原物料供應商,食品飲料相關通路,3.71,100.6
1294,漢田生技,1.54,台灣知名的液劑、晶凍保健食品代工廠,食品生技,3.06,24.2
1295,生合,-0.74,台灣專精乳酸菌研發與生產製造商,食品生技,3.45,18.5
1796,金穎生技,-0.53,為醱酵原料及保健品廠商,食品生技,4.15,15.5
4205,中華食,-0.14,中華豆腐及豆花製造廠,食品加工,9.76,72.2
4207,環泰,3.35,台灣三大果糖廠之一,製糖,19.85,36.7
6846,綠茵,1.3,台灣保健食品原料製造商,食品生技,2.71,19
7743,金利食安,0,冷壓蔬果汁供應商,非酒精飲料,3.65,7.3
1301,台塑,1.44,台灣最大塑化集團，亞洲最大PVC生產商,PVC,636.57,3135.1
1303,南亞,3.27,全球最大的塑膠加工廠、第四大EG廠,塑膠加工,793.08,7256.7
1304,台聚,2.76,台灣EVA、PE知名廠商,PE,118.88,155.1
1305,華夏,4.71,台灣第二大PVC廠，轉投資台氯,PVC,58.11,77.6
1307,三芳,0.78,全球最大的合成皮生產商,塑膠皮布,39.78,129.1
1308,亞聚,1.87,台聚轉投資之EVA及LDPE知名廠商,EVA,59.37,81
1309,台達化,0.3,台灣第三大PS廠,PS,39.76,67.2
1310,台苯,0.12,台灣第三大SM廠,SM,52.79,45.6
1312,國喬,1.72,台灣第二大SM及ABS廠,SM,110.66,130.6
1313,聯成,1.35,全球最大可塑劑及苯酐供應商,DOP,133.08,149.7
1314,中石化,-0.7,台灣第一大CPL廠,CPL,378.49,268.3
1315,達新,0,台灣知名雨衣及成衣製造商,塑膠加工,9.91,61.2
1321,大洋,0.17,台灣第三大PVC廠，並有資產開發題材,PVC,22.72,67.3
1323,永裕,2.6,台灣知名的塑膠瓶及軟管製造商,塑膠加工,9.13,18
1324,地球,0,台灣主要PVC膠帶供應商,膠帶,7.51,7.7
1325,恆大,1.28,台灣最大的紡結不織布生產廠,不織布,8.53,23.6
1326,台化,1.81,台灣最大的PTA廠,PTA,586.12,2801.6
1337,再生-KY,-2.2,大陸第一大EVA發泡材商,塑膠加工,26.9,13.2
1340,勝悅-KY,-1.78,第三方物流承租收入及旅館事業,鞋材,15.29,8.5
1341,富林-KY,-1.13,越南第一大PVC人造皮革生產商,塑膠皮布,5.29,32.4
4306,炎洲,1.52,台灣膠帶龍頭公司,膠帶,67.68,90.3
4303,信立,-0.57,台灣知名PU合成皮及PVC皮廠商,塑膠皮布,9.46,49.2
4304,勝昱,2,台灣EMI電磁波屏隔材料第一大廠,塑膠加工,6.1,18.7
4305,世坤,-0.46,專業PVC軟質膠布廠,塑膠皮布,5.5,24
9950,萬國通,1.42,台灣最大旅行箱製造商,手提箱,16.77,17.9
1402,遠東新,0.96,全球前五大聚酯製造商，集團轉投資橫跨領域廣,聚酯粒,535.29,1410.5
1409,新纖,2.38,新光集團旗下，台灣知名化纖廠,聚酯粒,161.84,278.4
1410,南染,-0.36,轉型為不動產租賃業務,物業投資發展,6.2,17.1
1413,宏洲,-0.21,宜進入主，聚酯粒、聚酯絲與加工絲一貫廠,聚酯絲,13.21,9.8
1414,東和,0.31,棉混紡紗大廠,混紡紗,19.8,32.2
1417,嘉裕,-0.46,裕隆集團旗下，台灣知名男性西服供應商,成衣銷售／零售,18.99,16.5
1418,東華,-1.57,台灣老牌的亞克力棉製造商,亞克力棉,5.68,8.8
1419,新紡,-0.31,新光集團旗下，平織布生產商，士林三寶之一,織布業,30,192.3
1423,利華,-0.73,台灣第一大的專業毛條生產商,毛紡,9.96,40.4
1434,福懋,0.32,台塑集團旗下，台灣知名輪胎簾布製造商,尼龍製品,168.47,267.9
1440,南紡,-0.82,台灣最大的聚酯棉與紡紗廠，並經營夢時代購物中心,聚酯棉,165.68,201.3
1441,大東,0.92,台灣主要棉紡生產企業,棉紡業,7.17,6.3
1444,力麗,-0.67,台灣聚酯加工絲龍頭廠,聚酯加工絲,99.56,59.3
1445,大宇,-1.57,台灣專業的織布廠,織布業,13.07,16.3
1446,宏和,-1.27,台灣知名的長短纖布廠,織布業,13.77,21.5
1447,力鵬,0.2,力麗集團旗下，台灣知名尼龍粒大廠,尼龍粒,91.01,45.1
1449,佳和,9.65,織布生產商，產品為先染及長纖織物,織布業,12.71,18.1
1451,年興,0.3,全球最大的牛仔成衣廠,成衣製造,19.8,33.2
1452,宏益,-1.34,台灣專業的加工絲一貫廠,聚酯加工絲,13.26,14.7
1454,台富,-2.85,台灣加工絲、織布一貫廠,織布業,12.98,17.7
1455,集盛,0.62,台灣前三大尼龍粒廠商及前四大聚酯加工絲廠,尼龍粒,53.17,43.2
1457,宜進,-0.34,台灣前五大加工絲廠之一,聚酯加工絲,31.67,45.8
1459,聯發,0.42,台灣十大聚酯加工絲廠之一,聚酯加工絲,35.86,42.9
1460,宏遠,-0.83,遠東集團旗下，是一家長短織一貫布廠,織布業,69.46,49.9
1463,強盛新,0,台灣專業的染整廠之一,染整,17.33,31.6
1464,得力,0.5,台灣老牌織染一貫化布廠,織布業,42.56,42.8
1465,偉全,-1.22,台灣專業的長纖布廠,織布業,10.36,12.6
1466,聚隆,1.6,台灣前二大的尼龍加工絲廠之一,尼龍絲,11.12,17.6
1467,南緯,0.28,為品牌大廠代工及與Wal-mart合作的成衣廠,成衣製造,23.36,12
1468,昶和,0,尼龍長織布廠,織布業,16.04,20
